model,rep,condition,n_trials,total_accuracy,persistence_error_count,intervention_count,productive_rate
claude,20,OracleFull,36.0,0.6111111111111112,4.0,8.0,0.5
claude,21,RawLLM,36.0,0.3055555555555556,11.0,0.0,-1.0
claude,21,RuleBlindFull,36.0,0.4444444444444444,10.0,9.0,0.6666666666666666
claude,21,NoVeto,36.0,0.3611111111111111,11.0,4.0,0.25
claude,21,TrajectoryOnly,36.0,0.3333333333333333,10.0,1.0,0.0
claude,21,YokedRandom,36.0,0.4166666666666667,8.0,9.0,0.5555555555555556
claude,21,OracleFull,36.0,0.5277777777777778,5.0,8.0,0.625
claude,22,RawLLM,36.0,0.3333333333333333,11.0,0.0,-1.0
claude,22,RuleBlindFull,36.0,0.4444444444444444,9.0,8.0,0.75
claude,22,NoVeto,36.0,0.3333333333333333,13.0,4.0,0.25
claude,22,TrajectoryOnly,36.0,0.3888888888888889,10.0,2.0,0.0
claude,22,YokedRandom,36.0,0.3611111111111111,9.0,8.0,0.375
claude,22,OracleFull,36.0,0.5833333333333334,6.0,9.0,0.4444444444444444
claude,23,RawLLM,36.0,0.4166666666666667,10.0,0.0,-1.0
claude,23,RuleBlindFull,36.0,0.5555555555555556,7.0,7.0,0.42857142857142855
claude,23,NoVeto,36.0,0.4444444444444444,10.0,4.0,0.5
claude,23,TrajectoryOnly,36.0,0.3888888888888889,9.0,4.0,0.5
claude,23,YokedRandom,36.0,0.5555555555555556,5.0,7.0,0.2857142857142857
claude,23,OracleFull,36.0,0.6388888888888888,4.0,8.0,0.625
claude,24,RawLLM,36.0,0.3611111111111111,11.0,0.0,-1.0
claude,24,RuleBlindFull,36.0,0.4722222222222222,9.0,8.0,0.625
claude,24,NoVeto,36.0,0.4166666666666667,11.0,4.0,0.5
claude,24,TrajectoryOnly,36.0,0.3888888888888889,10.0,3.0,0.0
claude,24,YokedRandom,36.0,0.4444444444444444,8.0,8.0,0.5
claude,24,OracleFull,36.0,0.6111111111111112,5.0,9.0,0.4444444444444444
claude,25,RawLLM,36.0,0.3888888888888889,13.0,0.0,-1.0
claude,25,RuleBlindFull,36.0,0.5833333333333334,8.0,8.0,0.75
claude,25,NoVeto,36.0,0.4444444444444444,13.0,4.0,0.25
claude,25,TrajectoryOnly,36.0,0.4166666666666667,12.0,3.0,1.0
claude,25,YokedRandom,36.0,0.5277777777777778,8.0,8.0,0.5
claude,25,OracleFull,36.0,0.6111111111111112,6.0,8.0,0.625
claude,26,RawLLM,36.0,0.2222222222222222,15.0,0.0,-1.0
claude,26,RuleBlindFull,36.0,0.4444444444444444,10.0,10.0,0.6
claude,26,NoVeto,36.0,0.3055555555555556,14.0,5.0,0.2
claude,26,TrajectoryOnly,36.0,0.3055555555555556,13.0,3.0,0.3333333333333333
claude,26,YokedRandom,36.0,0.3333333333333333,10.0,10.0,0.3
claude,26,OracleFull,36.0,0.5555555555555556,6.0,12.0,0.5833333333333334
claude,27,RawLLM,36.0,0.2777777777777778,15.0,0.0,-1.0
claude,27,RuleBlindFull,36.0,0.5,9.0,9.0,0.6666666666666666
claude,27,NoVeto,36.0,0.3333333333333333,13.0,4.0,0.25
claude,27,TrajectoryOnly,36.0,0.2777777777777778,14.0,3.0,0.3333333333333333
claude,27,YokedRandom,36.0,0.3055555555555556,10.0,9.0,0.2222222222222222
claude,27,OracleFull,36.0,0.5555555555555556,7.0,10.0,0.5
claude,28,RawLLM,36.0,0.3333333333333333,9.0,0.0,-1.0
claude,28,RuleBlindFull,36.0,0.4722222222222222,7.0,7.0,0.5714285714285714
claude,28,NoVeto,36.0,0.3611111111111111,11.0,4.0,0.25
claude,28,TrajectoryOnly,36.0,0.3611111111111111,10.0,4.0,0.5
claude,28,YokedRandom,36.0,0.3888888888888889,7.0,7.0,0.2857142857142857
claude,28,OracleFull,36.0,0.5555555555555556,5.0,8.0,0.375
claude,29,RawLLM,36.0,0.3611111111111111,10.0,0.0,-1.0
claude,29,RuleBlindFull,36.0,0.5,8.0,8.0,0.75
claude,29,NoVeto,36.0,0.4166666666666667,10.0,4.0,0.5
claude,29,TrajectoryOnly,36.0,0.3611111111111111,8.0,4.0,0.0
claude,29,YokedRandom,36.0,0.5,5.0,8.0,0.5
claude,29,OracleFull,36.0,0.5833333333333334,5.0,8.0,0.375
claude,30,RawLLM,36.0,0.3333333333333333,8.0,0.0,-1.0
claude,30,RuleBlindFull,36.0,0.4166666666666667,6.0,9.0,0.5555555555555556
claude,30,NoVeto,36.0,0.3611111111111111,10.0,4.0,0.0
claude,30,TrajectoryOnly,36.0,0.2777777777777778,11.0,4.0,0.5
claude,30,YokedRandom,36.0,0.3888888888888889,6.0,9.0,0.3333333333333333
claude,30,OracleFull,36.0,0.5555555555555556,4.0,8.0,0.375
gpt,1,RawLLM,36.0,0.3055555555555556,13.0,0.0,-1.0
gpt,1,RuleBlindFull,36.0,0.4444444444444444,8.0,9.0,0.6666666666666666
gpt,1,NoVeto,36.0,0.3055555555555556,13.0,4.0,0.0
gpt,1,TrajectoryOnly,36.0,0.3333333333333333,13.0,5.0,0.0
gpt,1,YokedRandom,36.0,0.3611111111111111,8.0,9.0,0.3333333333333333
gpt,1,OracleFull,36.0,0.6111111111111112,6.0,11.0,0.36363636363636365
gpt,2,RawLLM,36.0,0.3055555555555556,13.0,0.0,-1.0
gpt,2,RuleBlindFull,36.0,0.5277777777777778,8.0,9.0,0.4444444444444444
gpt,2,NoVeto,36.0,0.3888888888888889,12.0,5.0,0.0
gpt,2,TrajectoryOnly,36.0,0.2777777777777778,12.0,4.0,0.5
gpt,2,YokedRandom,36.0,0.4166666666666667,9.0,9.0,0.3333333333333333
gpt,2,OracleFull,36.0,0.6111111111111112,5.0,11.0,0.5454545454545454
gpt,3,RawLLM,36.0,0.3333333333333333,13.0,0.0,-1.0
gpt,3,RuleBlindFull,36.0,0.5277777777777778,8.0,9.0,0.6666666666666666
gpt,3,NoVeto,36.0,0.3611111111111111,13.0,4.0,0.0
gpt,3,TrajectoryOnly,36.0,0.3333333333333333,12.0,5.0,0.0
gpt,3,YokedRandom,36.0,0.4722222222222222,7.0,9.0,0.4444444444444444
gpt,3,OracleFull,36.0,0.6388888888888888,6.0,11.0,0.36363636363636365
gpt,4,RawLLM,36.0,0.3333333333333333,11.0,0.0,-1.0
gpt,4,RuleBlindFull,36.0,0.5,8.0,7.0,0.5714285714285714
gpt,4,NoVeto,36.0,0.4444444444444444,10.0,5.0,0.2
gpt,4,TrajectoryOnly,36.0,0.3055555555555556,11.0,4.0,0.25
gpt,4,YokedRandom,36.0,0.4444444444444444,8.0,7.0,0.42857142857142855
gpt,4,OracleFull,36.0,0.5833333333333334,5.0,9.0,0.2222222222222222
gpt,5,RawLLM,36.0,0.3611111111111111,8.0,0.0,-1.0
gpt,5,RuleBlindFull,36.0,0.4166666666666667,6.0,9.0,0.7777777777777778
gpt,5,NoVeto,36.0,0.3055555555555556,12.0,4.0,0.0
gpt,5,TrajectoryOnly,36.0,0.4166666666666667,8.0,2.0,0.5
gpt,5,YokedRandom,36.0,0.4166666666666667,3.0,9.0,0.5555555555555556
gpt,5,OracleFull,36.0,0.5833333333333334,4.0,8.0,0.625
gpt,6,RawLLM,36.0,0.3055555555555556,13.0,0.0,-1.0
gpt,6,RuleBlindFull,36.0,0.5277777777777778,6.0,9.0,0.6666666666666666
gpt,6,NoVeto,36.0,0.3055555555555556,14.0,4.0,0.0
gpt,6,TrajectoryOnly,36.0,0.3055555555555556,13.0,3.0,0.3333333333333333
gpt,6,YokedRandom,36.0,0.4444444444444444,6.0,9.0,0.3333333333333333
gpt,6,OracleFull,36.0,0.5555555555555556,6.0,9.0,0.3333333333333333
gpt,7,RawLLM,36.0,0.3888888888888889,10.0,0.0,-1.0
gpt,7,RuleBlindFull,36.0,0.5277777777777778,8.0,7.0,0.42857142857142855
gpt,7,NoVeto,36.0,0.4166666666666667,11.0,4.0,0.0
gpt,7,TrajectoryOnly,36.0,0.4166666666666667,10.0,3.0,0.3333333333333333
gpt,7,YokedRandom,36.0,0.4722222222222222,9.0,7.0,0.42857142857142855
gpt,7,OracleFull,36.0,0.5833333333333334,6.0,7.0,0.14285714285714285
gpt,8,RawLLM,36.0,0.3055555555555556,14.0,0.0,-1.0
gpt,8,RuleBlindFull,36.0,0.5,7.0,10.0,0.7
gpt,8,NoVeto,36.0,0.3611111111111111,13.0,4.0,0.0
gpt,8,TrajectoryOnly,36.0,0.2777777777777778,13.0,4.0,0.0
gpt,8,YokedRandom,36.0,0.4444444444444444,8.0,10.0,0.6
gpt,8,OracleFull,36.0,0.6111111111111112,6.0,11.0,0.36363636363636365
gpt,9,RawLLM,36.0,0.3333333333333333,13.0,0.0,-1.0
gpt,9,RuleBlindFull,36.0,0.5277777777777778,8.0,8.0,0.625
gpt,9,NoVeto,36.0,0.3611111111111111,13.0,4.0,0.0
gpt,9,TrajectoryOnly,36.0,0.3333333333333333,12.0,5.0,0.2
gpt,9,YokedRandom,36.0,0.4722222222222222,7.0,8.0,0.375
gpt,9,OracleFull,36.0,0.6111111111111112,6.0,10.0,0.3
gpt,10,RawLLM,36.0,0.25,14.0,0.0,-1.0
gpt,10,RuleBlindFull,36.0,0.4722222222222222,7.0,11.0,0.6363636363636364
gpt,10,NoVeto,36.0,0.3055555555555556,14.0,5.0,0.2
gpt,10,TrajectoryOnly,36.0,0.2222222222222222,13.0,4.0,0.0
gpt,10,YokedRandom,36.0,0.4444444444444444,8.0,11.0,0.6363636363636364
gpt,10,OracleFull,36.0,0.5277777777777778,7.0,10.0,0.3
gpt,11,RawLLM,36.0,0.3888888888888889,10.0,0.0,-1.0
gpt,11,RuleBlindFull,36.0,0.5277777777777778,7.0,6.0,0.5
gpt,11,NoVeto,36.0,0.4444444444444444,10.0,4.0,0.5
gpt,11,TrajectoryOnly,36.0,0.4166666666666667,10.0,3.0,0.3333333333333333
gpt,11,YokedRandom,36.0,0.5277777777777778,6.0,6.0,0.5
gpt,11,OracleFull,36.0,0.6111111111111112,5.0,8.0,0.5
gpt,12,RawLLM,36.0,0.3333333333333333,13.0,0.0,-1.0
gpt,12,RuleBlindFull,36.0,0.5555555555555556,7.0,9.0,0.7777777777777778
gpt,12,NoVeto,36.0,0.4166666666666667,12.0,5.0,0.0
gpt,12,TrajectoryOnly,36.0,0.3055555555555556,12.0,2.0,0.0
gpt,12,YokedRandom,36.0,0.5,7.0,9.0,0.6666666666666666
gpt,12,OracleFull,36.0,0.6111111111111112,5.0,10.0,0.5
gpt,13,RawLLM,36.0,0.3055555555555556,13.0,0.0,-1.0
gpt,13,RuleBlindFull,36.0,0.5,7.0,9.0,0.6666666666666666
gpt,13,NoVeto,36.0,0.3055555555555556,13.0,4.0,0.0
gpt,13,TrajectoryOnly,36.0,0.3055555555555556,13.0,4.0,0.5
gpt,13,YokedRandom,36.0,0.3611111111111111,8.0,9.0,0.2222222222222222
gpt,13,OracleFull,36.0,0.5833333333333334,6.0,10.0,0.4
gpt,14,RawLLM,36.0,0.3333333333333333,14.0,0.0,-1.0
gpt,14,RuleBlindFull,36.0,0.5277777777777778,6.0,11.0,0.7272727272727273
gpt,14,NoVeto,36.0,0.3888888888888889,12.0,4.0,0.0
gpt,14,TrajectoryOnly,36.0,0.3611111111111111,14.0,3.0,0.3333333333333333
gpt,14,YokedRandom,36.0,0.4444444444444444,7.0,11.0,0.45454545454545453
gpt,14,OracleFull,36.0,0.6388888888888888,5.0,11.0,0.5454545454545454
gpt,15,RawLLM,36.0,0.3611111111111111,13.0,0.0,-1.0
gpt,15,RuleBlindFull,36.0,0.5833333333333334,7.0,8.0,0.625
gpt,15,NoVeto,36.0,0.3888888888888889,13.0,4.0,0.25
gpt,15,TrajectoryOnly,36.0,0.3611111111111111,13.0,4.0,0.25
gpt,15,YokedRandom,36.0,0.5,8.0,8.0,0.625
gpt,15,OracleFull,36.0,0.6111111111111112,7.0,9.0,0.4444444444444444
gpt,16,RawLLM,36.0,0.25,11.0,0.0,-1.0
gpt,16,RuleBlindFull,36.0,0.4444444444444444,7.0,9.0,0.6666666666666666
gpt,16,NoVeto,36.0,0.3055555555555556,11.0,5.0,0.4
gpt,16,TrajectoryOnly,36.0,0.25,11.0,4.0,0.25
gpt,16,YokedRandom,36.0,0.3611111111111111,7.0,9.0,0.5555555555555556
gpt,16,OracleFull,36.0,0.5277777777777778,5.0,10.0,0.3
gpt,17,RawLLM,36.0,0.3055555555555556,14.0,0.0,-1.0
gpt,17,RuleBlindFull,36.0,0.5277777777777778,9.0,10.0,0.6
gpt,17,NoVeto,36.0,0.3611111111111111,12.0,4.0,0.0
gpt,17,TrajectoryOnly,36.0,0.2777777777777778,14.0,5.0,0.2
gpt,17,YokedRandom,36.0,0.4444444444444444,8.0,10.0,0.3
gpt,17,OracleFull,36.0,0.5833333333333334,6.0,10.0,0.3
gpt,18,RawLLM,36.0,0.4166666666666667,10.0,0.0,-1.0
gpt,18,RuleBlindFull,36.0,0.5277777777777778,7.0,7.0,0.5714285714285714
gpt,18,NoVeto,36.0,0.4722222222222222,10.0,4.0,0.0
gpt,18,TrajectoryOnly,36.0,0.3611111111111111,11.0,4.0,0.5
gpt,18,YokedRandom,36.0,0.5,6.0,7.0,0.5714285714285714
gpt,18,OracleFull,36.0,0.6944444444444444,4.0,10.0,0.5
gpt,19,RawLLM,36.0,0.2777777777777778,15.0,0.0,-1.0
gpt,19,RuleBlindFull,36.0,0.4722222222222222,6.0,12.0,0.6666666666666666
gpt,19,NoVeto,36.0,0.3333333333333333,13.0,4.0,0.0
gpt,19,TrajectoryOnly,36.0,0.2777777777777778,14.0,3.0,0.0
gpt,19,YokedRandom,36.0,0.4444444444444444,7.0,12.0,0.5833333333333334
gpt,19,OracleFull,36.0,0.5833333333333334,6.0,11.0,0.45454545454545453
gpt,20,RawLLM,36.0,0.4166666666666667,8.0,0.0,-1.0
gpt,20,RuleBlindFull,36.0,0.5277777777777778,6.0,6.0,0.6666666666666666
gpt,20,NoVeto,36.0,0.4722222222222222,8.0,4.0,0.25
gpt,20,TrajectoryOnly,36.0,0.3888888888888889,9.0,4.0,0.5
gpt,20,YokedRandom,36.0,0.5277777777777778,4.0,6.0,0.6666666666666666
gpt,20,OracleFull,36.0,0.6388888888888888,4.0,8.0,0.5
gpt,21,RawLLM,36.0,0.3611111111111111,12.0,0.0,-1.0
gpt,21,RuleBlindFull,36.0,0.5277777777777778,8.0,7.0,0.5714285714285714
gpt,21,NoVeto,36.0,0.4166666666666667,12.0,4.0,0.0
gpt,21,TrajectoryOnly,36.0,0.3333333333333333,13.0,5.0,0.2
gpt,21,YokedRandom,36.0,0.4166666666666667,8.0,7.0,0.42857142857142855
gpt,21,OracleFull,36.0,0.6111111111111112,6.0,9.0,0.4444444444444444
gpt,22,RawLLM,36.0,0.3333333333333333,14.0,0.0,-1.0
gpt,22,RuleBlindFull,36.0,0.5277777777777778,8.0,9.0,0.6666666666666666
gpt,22,NoVeto,36.0,0.4166666666666667,13.0,4.0,0.0
gpt,22,TrajectoryOnly,36.0,0.3333333333333333,13.0,3.0,0.3333333333333333
gpt,22,YokedRandom,36.0,0.4722222222222222,8.0,9.0,0.3333333333333333
gpt,22,OracleFull,36.0,0.6111111111111112,6.0,10.0,0.6
gpt,23,RawLLM,36.0,0.3888888888888889,10.0,0.0,-1.0
gpt,23,RuleBlindFull,36.0,0.5,8.0,7.0,0.7142857142857143
gpt,23,NoVeto,36.0,0.4166666666666667,11.0,4.0,0.5
gpt,23,TrajectoryOnly,36.0,0.3888888888888889,10.0,2.0,0.5
gpt,23,YokedRandom,36.0,0.4444444444444444,7.0,7.0,0.5714285714285714
gpt,23,OracleFull,36.0,0.6388888888888888,4.0,9.0,0.5555555555555556
gpt,24,RawLLM,36.0,0.3333333333333333,12.0,0.0,-1.0
gpt,24,RuleBlindFull,36.0,0.5,7.0,9.0,0.6666666666666666
gpt,24,NoVeto,36.0,0.3888888888888889,12.0,4.0,0.0
gpt,24,TrajectoryOnly,36.0,0.3333333333333333,12.0,4.0,0.25
gpt,24,YokedRandom,36.0,0.5,5.0,9.0,0.4444444444444444
gpt,24,OracleFull,36.0,0.6111111111111112,5.0,10.0,0.5
gpt,25,RawLLM,36.0,0.3333333333333333,11.0,0.0,-1.0
gpt,25,RuleBlindFull,36.0,0.5,7.0,8.0,0.625
gpt,25,NoVeto,36.0,0.3888888888888889,11.0,4.0,0.0
gpt,25,TrajectoryOnly,36.0,0.3333333333333333,11.0,4.0,0.25
gpt,25,YokedRandom,36.0,0.4722222222222222,6.0,8.0,0.375
gpt,25,OracleFull,36.0,0.6111111111111112,5.0,10.0,0.3
gpt,26,RawLLM,36.0,0.3611111111111111,13.0,0.0,-1.0
gpt,26,RuleBlindFull,36.0,0.5555555555555556,8.0,7.0,0.5714285714285714
gpt,26,NoVeto,36.0,0.3888888888888889,14.0,4.0,0.0
gpt,26,TrajectoryOnly,36.0,0.3055555555555556,13.0,3.0,0.3333333333333333
gpt,26,YokedRandom,36.0,0.4722222222222222,9.0,7.0,0.42857142857142855
gpt,26,OracleFull,36.0,0.6111111111111112,6.0,9.0,0.4444444444444444
gpt,27,RawLLM,36.0,0.3888888888888889,11.0,0.0,-1.0
gpt,27,RuleBlindFull,36.0,0.5555555555555556,7.0,7.0,0.7142857142857143
gpt,27,NoVeto,36.0,0.4444444444444444,10.0,4.0,0.25
gpt,27,TrajectoryOnly,36.0,0.3888888888888889,10.0,5.0,0.4
gpt,27,YokedRandom,36.0,0.4444444444444444,7.0,7.0,0.42857142857142855
gpt,27,OracleFull,36.0,0.6666666666666666,4.0,10.0,0.5
gpt,28,RawLLM,36.0,0.3888888888888889,11.0,0.0,-1.0
gpt,28,RuleBlindFull,36.0,0.5555555555555556,7.0,7.0,0.5714285714285714
gpt,28,NoVeto,36.0,0.4444444444444444,11.0,4.0,0.0
gpt,28,TrajectoryOnly,36.0,0.3333333333333333,12.0,4.0,0.5
gpt,28,YokedRandom,36.0,0.4722222222222222,7.0,7.0,0.42857142857142855
gpt,28,OracleFull,36.0,0.6666666666666666,5.0,10.0,0.5
gpt,29,RawLLM,36.0,0.4166666666666667,11.0,0.0,-1.0
gpt,29,RuleBlindFull,36.0,0.5833333333333334,7.0,7.0,0.5714285714285714
gpt,29,NoVeto,36.0,0.4444444444444444,12.0,4.0,0.25
gpt,29,TrajectoryOnly,36.0,0.3888888888888889,11.0,4.0,0.25
gpt,29,YokedRandom,36.0,0.5277777777777778,7.0,7.0,0.2857142857142857
gpt,29,OracleFull,36.0,0.6111111111111112,6.0,7.0,0.2857142857142857
gpt,30,RawLLM,36.0,0.25,12.0,0.0,-1.0
